id,title,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad","Crime, Drama, Thriller",9.5,2220756,2008
tt5491994,"Planet Earth II",Documentary,9.5,161283,2016
tt0185906,"Band of Brothers","Drama, History, War",9.4,542837,2001
tt0795176,"Planet Earth","Documentary, Family",9.4,222817,2006
tt5152226,"Tree of Life",Drama,9.4,11445,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,900125,2019
tt0306414,"The Wire","Crime, Drama, Thriller",9.3,388536,2002
tt0417299,"Avatar: The Last Airbender","Action, Adventure, Animation",9.3,386970,2005
tt30263074,"Sapne Vs Everyone",Drama,9.3,70674,2023
tt6769208,"Blue Planet II",Documentary,9.3,48120,2017
tt0081846,Cosmos,Documentary,9.3,45175,1980
tt7678620,Bluey,"Animation, Family",9.3,32304,2018
tt9002164,"BB Ki Vines",Comedy,9.3,11245,2015
tt0944947,"Game of Thrones","Action, Adventure, Drama",9.2,2355676,2011
tt0141842,"The Sopranos","Crime, Drama",9.2,493994,1999
tt14392248,Aspirants,Drama,9.2,313454,2021
tt12392504,"Scam 1992: The Harshad Mehta Story","Biography, Crime, Drama",9.2,160096,2020
tt2395695,"Cosmos: A Spacetime Odyssey",Documentary,9.2,130567,2014
tt9253866,"Our Planet",Documentary,9.2,53028,2019
tt9471404,"The Chosen","Drama, History",9.2,50676,2017
tt4202274,"The Filthy Frank Show","Comedy, Short",9.2,33569,2011
tt0071075,"The World at War","Documentary, History, War",9.2,30449,1973
tt9861270,"Çilgin Dersane at the University",Comedy,9.2,11418,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1021067,2010
tt2861424,"Rick and Morty","Adventure, Animation, Comedy",9.1,623359,2013
tt2560140,"Attack on Titan","Action, Adventure, Animation",9.1,552193,2013
tt1355642,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Animation",9.1,206481,2009
tt8420184,"The Last Dance","Biography, Documentary, History",9.1,158151,2020
tt1831164,"Leyla and Mecnun","Adventure, Comedy, Drama",9.1,97231,2011
tt28227737,"Sandeep Bhaiya",Drama,9.1,75800,2023
tt4742876,"TVF Pitchers","Comedy, Drama",9.1,73251,2015
tt1533395,Life,Documentary,9.1,43327,2009
tt1877514,"The Vietnam War","Documentary, History, War",9.1,28798,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,24274,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18019,2017
tt9471962,Halka,"Action, Crime, Drama",9.1,17595,2019
tt4834232,"Critical Role","Adventure, Fantasy",9.1,13469,2015
tt13854248,"The Legend of Hanuman","Action, Adventure, Animation",9.1,12773,2021
tt7923710,"My Mister","Drama, Family",9.1,10390,2018
tt0386676,"The Office",Comedy,9,740911,2005
tt3032476,"Better Call Saul","Crime, Drama",9,683630,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,291231,2021
tt0388629,"One Piece","Action, Adventure, Animation",9,262730,1999
tt2098220,"Hunter x Hunter","Action, Adventure, Animation",9,146185,2011
